country_code,account_female,account_male,account_poor40,account_rich60,account_prim_less,account_sec_more
ISR,88.0997205658934,90.4755385428348,80.3519531382311,95.2144131110401,70.5506295977132,90.1348814700177
ITA,79.7946783289735,92.6338802740803,82.1215678248643,88.5999558685771,74.5881587033891,94.4796602775869
JOR,36.2234645848992,55.9196759817473,35.7152731126413,53.6178921345115,37.8853728938152,48.4374629257723
JPN,98.723135316154,98.3131609217015,97.6785123935915,99.0854185347709,97.5868079174503,98.8620554132254
KAZ,85.7420594770372,88.5002867646321,83.3413414717717,89.5146092807647,58.0864652855816,91.2365697346181
KEN,86.5155344015748,93.8895090496553,83.8761640610762,94.2665957730421,81.6639771317455,94.2597629382282
KGZ,71.235055996936,73.3780750915794,65.5888049897545,76.6989988232727,50.4794589409373,75.8871883080716
KHM,36.7988836964306,41.5805707422137,28.1273292851866,46.3195339556785,33.5778460367908,62.8262340389715
KOR,97.1396146066269,96.6472206696843,94.1886846132518,98.6932211942982,87.409430015156,98.6856130151133
KWT,71.4890462652269,76.0569953890037,63.6048709496818,81.694544625606,57.3478608172479,76.1196680526543
LAC,65.8592671155635,73.9032183931953,59.540238606929,76.4930412099884,52.7047141077996,77.6088311220652
LAO,43.5865025443192,31.7099790252873,18.2733611108504,50.5576529246622,27.3433718636427,62.2374310460403
LBN,15.3395918766117,31.0250951995699,17.553656509439,26.6905852148665,16.1716133789038,26.2776482829298
LBR,46.2794636646139,58.1311446969649,43.0083046077259,58.3549854533545,42.0683476020985,72.9690482645455
LBY,24.6960239810713,41.4206818482174,30.0230794011172,35.1818772108942,20.8789801452244,35.5551338538791
LKA,80.201889490679,83.3833352312595,80.186232208266,82.6966067816372,75.6525964851497,84.4889282883542
LMY,72.9736032719058,77.9199866543082,68.1859783076364,80.2730820413295,69.0736528503406,81.6875647293692
LSO,60.4259618948848,62.9153027155964,,,56.3537449556573,69.0843174558857
LTU,98.4001545389899,99.6487186965706,97.7831157645526,99.7989892727659,100.0,98.8891834591137
LVA,95.4063945490497,94.4387277334092,91.6439398308994,97.1909689409365,85.6687002281525,97.4694202455323
MAR,34.6828902547469,54.6311625939388,41.2388909006007,46.4830016125998,38.9193875691187,54.5208300275563
MDA,54.547891632053,56.690862731554,43.5496377819456,63.5385507213282,38.4001319181705,56.9653613732781
MDG,20.2965184252509,28.9510608133895,14.1117475374701,31.3389340519769,16.6835993474644,48.9745880544417
MEX,47.4017009910959,59.1387643464686,39.604436945858,61.9710694395068,35.2367921698715,60.8992291617309
MKD,77.229493719316,91.5870835011346,78.3945632616455,88.1502620263479,65.6133114409021,93.7862973251623
MLI,45.6045965708999,64.185279812671,45.4853738151214,60.9026764966276,48.7312464777965,77.7268667367451
MLT,96.0512328002859,97.0301617715661,93.4254898314504,98.6438217819116,88.2447080502285,97.2371393593077
MNA,45.6286015667673,60.0897775750715,45.9034386759063,57.5725753292588,42.3637564716053,60.5939974483951
MNE,73.3747524585654,77.5678116655159,66.7159776755659,81.2114791836925,41.9977774580032,89.0632290128803
MNG,98.9739436798409,97.5086522078017,97.3968423935397,98.866409516205,95.1893884267782,99.4898963815167
MOZ,45.4883633087181,63.3549962118332,35.307869498617,67.0790731001974,45.6654822603826,81.765569501637
MRT,24.6801310105525,30.2658938456615,24.3259402241594,29.308038022734,21.3184896184446,44.3631831049748
MUS,87.44277026075,91.7832047664155,86.3341061612645,91.7740753618116,84.0962831484244,93.4463122804306
MWI,46.2797708427249,54.8354765985818,38.0829684230523,58.5605303613341,43.3106836276267,72.106604968159
MYS,88.2264701684302,89.1413579480248,82.0441782944544,93.1284043274747,74.4397136763991,92.4534292521765
NAM,75.0382248106692,70.659277654642,59.9327543605384,81.5282445797459,64.6481060578176,77.8438200603319
NER,12.2030464030006,17.6139562058255,17.5059704418951,13.0527270463925,13.5414073423134,36.4873333394023
NGA,52.2155914465012,74.302879584059,46.7443880832654,74.2769862838096,42.1862354000244,79.6714034471371
NIC,21.2320804665929,25.9574488414034,19.5936528210773,26.0566214546751,13.2708967899659,33.4624506860196
NLD,99.2546198217458,99.0871076242509,98.2593267814023,99.7758337380223,95.8856565393996,99.4828752071692
NOR,97.8239340560655,99.2709876923463,97.7236874330182,99.1120206688754,97.3865938607033,98.8286252319689
NPL,59.7778342772083,60.2270903422122,53.0095282322869,64.6403454077327,57.0633060524272,68.7669106284418
NZL,98.5351611403082,97.163339063554,96.8077986231673,98.566561701393,96.492125506117,98.8001268108958
OMN,67.0832725695516,70.7083967351425,67.4150180357039,70.9499196515117,54.7541406202193,74.8711818822968
PAK,11.9121696598431,42.2935435576169,13.6062537929128,36.4061624872429,18.9106980665209,46.6859995768197
PAN,58.1187550543733,70.391512048608,45.4815775753491,76.5155782281593,41.8878748138697,70.3648328627176
PER,56.1785669335632,62.4782758669515,44.6241136416496,69.0577748657614,29.636960601098,66.5090547558496
PHL,57.1016109576105,43.0424000013443,34.4399006408424,60.6849094992164,33.6218005767594,57.9031088518301
POL,86.3296733689659,85.9243017950635,80.0821560050964,90.1625577495388,51.0695031242376,92.2050592633483
PRT,88.166050754656,94.7574332041775,87.698375834765,93.8593786305053,80.9267698148588,95.3972857756561
PRY,60.1097092799532,61.7674730808885,50.0776335460214,68.1355834321901,48.1488589431053,69.8155485323729
PSE,27.7345491731852,51.181464130948,33.1063553167404,43.9652343227868,34.5955293978022,40.6868231680592
ROU,69.8503015757801,72.9467014858712,55.4182775439009,81.9551402457898,41.029929138885,80.2727804814187
RUS,77.2673546557224,81.6495846664745,70.6261391166153,85.1523932813798,62.7570684172578,81.3682355856549
SAS,75.0596309089595,80.0505159551464,73.2503054944143,80.4348488186772,75.5077118253448,81.3903062559331
SAU,73.461901464919,81.8127654266595,74.6153434071134,81.6639368017645,66.6383140653873,79.316214986013
SEN,73.5941345823606,79.6122559003812,68.994436090772,81.436888359536,73.6146089346462,84.2715537594639
SGP,97.6078339751686,98.3229188456466,95.7614657643224,99.4491241950911,87.6332291567375,98.6803833171565
SLE,35.9347203423534,41.4790318962968,27.4565690881933,46.0586413806671,26.659190137757,59.0263950441918
SLV,34.4359210784078,54.692513354909,24.7330513543203,55.8448627077973,36.5077190923242,56.7958580555388
SRB,81.0618186013879,85.6546923214992,75.1389893523283,88.6506363075502,60.3410362424749,90.351375469278
SSA,52.2979999131369,64.3609216158484,47.1908830912076,65.3784085347402,44.1932536887421,75.3467690896452
SVK,91.0941403563605,93.4077744964987,87.0148493589641,95.6829649951871,50.41462849814,95.285325961801
SVN,98.9427575733679,98.5393342994632,98.0833524484911,99.1895165790719,98.6317804316182,98.8031893185293
SWE,97.6051609665946,99.501175617033,96.6188778443266,99.8632519590624,89.9102552437547,98.7656605971835
SWZ,65.3509471878412,64.809563032207,54.4790274550679,72.2174466814621,59.6975068525002,69.9289637512945
TCD,20.1401531546613,21.6937637839192,21.0676398615485,20.7856126019284,18.3470322270644,41.983261515031
TGO,45.3494825153525,69.9999828165192,43.6513631462085,66.5981569347629,48.3004244617773,72.5910238637625
THA,92.7000685235119,90.918244759467,91.1856150388769,92.2500728699359,91.0017346016231,93.9332708290935
TJK,46.9005362710827,62.5557724693504,49.9650557404033,57.5514616194339,43.5802725818182,58.5541160661076
TTO,73.2927431144278,75.869999628906,73.9723506545314,75.0028438309011,62.1396540853468,80.9946042385198
TUN,26.6074987294777,49.5665996567354,21.6558127729451,48.6150220019225,28.6065551972747,45.8258014849128
TUR,71.6675500449687,91.6080831238213,75.5367583458805,85.5567256187198,70.295002174836,84.7600121091497
TZA,54.9346318215236,65.3362469372565,50.8519090423491,65.7966603936744,54.1501416450898,78.1227103959748
UGA,66.3670902474203,80.2678606568995,66.8868869234163,76.7587317463283,64.8079887063478,80.2038805875702
UKR,83.8855969447319,91.5174220952965,81.5206322830376,91.6087600580828,84.0104630508427,87.7857352580196
URY,73.2856919264603,74.2464297281832,62.8504097371847,80.9982571695999,60.4552359826769,86.2754731203571
USA,97.1092143262693,96.9368554605958,95.5767682441686,97.982796115914,92.7320585202772,97.1209790457057
UZB,60.7039265407325,58.5397971163848,61.6991328968796,58.2973903436592,39.259012572243,63.8574734489712
VEN,87.7033336249902,86.9300365024269,84.4291999175201,89.2479407782685,79.1494147346836,90.5329126474792
VNM,69.8844155477409,71.2493314689508,48.1091971005892,85.4862530324906,33.4836318159282,75.2195263581733
WLD,76.6330384569803,80.855243699571,72.3612993688464,82.9868149094254,69.6263075978138,85.6061089250876
XKX,59.7945017831686,68.7587019450215,66.6871161691135,62.4781675623885,59.8441169843768,69.6424096949818
ZAF,80.9924154358395,81.2787434862317,74.2156414653987,84.8469759306096,63.720981851365,85.6599222436322
ZMB,70.172074871881,75.4614346484177,58.7956699275909,81.9480490077803,61.9882588828619,84.2771295174334
ZWE,46.9940182067327,52.4013370486159,38.2144157150038,57.0495586087754,33.8236387289404,59.3619449304381
