country,country_code,year,adult_pop,region,income_group,percent_with_fin_account,percent_with_fin_account_formal,percent_with_mobile_account
Tajikistan,TJK,2024,6596875.0,Europe & Central Asia (excluding high income),Lower middle income,0.545193771,0.524742715,0.144302101
Tanzania,TZA,2024,38155970.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.598275253,0.219441734,0.528539837
Thailand,THA,2024,60882768.0,East Asia & Pacific (excluding high income),Upper middle income,0.918249815,0.911189014,0.416773814
Togo,TGO,2024,5593530.0,Sub-Saharan Africa (excluding high income),Low income,0.574329534,0.324420271,0.479918379
Trinidad and Tobago,TTO,2024,1120989.0,High income,High income,0.745920641,0.745920641,
Tunisia,TUN,2024,9219268.0,Middle East & North Africa (excluding high income),Lower middle income,0.37844486,0.37737117,0.026456293
Turkiye,TUR,2024,66691005.0,Europe & Central Asia (excluding high income),Upper middle income,0.815545478,0.815082105,0.233225246
Uganda,UGA,2024,27277834.0,Sub-Saharan Africa (excluding high income),Low income,0.728273758,0.261733237,0.677382954
Ukraine,UKR,2024,32338724.0,Europe & Central Asia (excluding high income),Lower middle income,0.875812259,0.875812259,
United Kingdom,GBR,2024,56450851.0,High income,High income,0.992843093,0.992843093,
United States,USA,2024,275987833.0,High income,High income,0.970230983,0.970230983,
Uruguay,URY,2024,2755004.0,High income,High income,0.737451276,0.737451276,
Uzbekistan,UZB,2024,24646062.0,Europe & Central Asia (excluding high income),Lower middle income,0.59658383,0.59658383,
"Venezuela, RB",VEN,2024,20899114.0,Latin America & Caribbean (excluding high income),Upper middle income,0.873184628,0.863742959,0.337396759
Viet Nam,VNM,2024,76663207.0,East Asia & Pacific (excluding high income),Lower middle income,0.705507534,0.698541923,0.38723284
West Bank and Gaza,PSE,2024,3183655.0,Middle East & North Africa (excluding high income),Lower middle income,0.396209836,0.386652297,0.061631687
Zambia,ZMB,2024,12029200.0,Sub-Saharan Africa (excluding high income),Low income,0.727024246,0.240723734,0.693107513
Zimbabwe,ZWE,2024,9588258.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.495216018,0.215661531,0.433317369
world,WLD,2024,,,,0.787424041,0.753073502,0.159704052
Developing economies,LMY,2024,,,,0.754463783,0.713223553,0.183480079
East Asia & Pacific (excluding high income),EAP,2024,,,,0.83343266,0.821925209,0.069058118
Europe & Central Asia (excluding high income),ECA,2024,,,,0.778490635,0.775779213,0.106686028
Middle East & North Africa (excluding high income),MNA,2024,,,,0.529089187,0.49974486,0.10709366
Sub-Saharan Africa (excluding high income),SSA,2024,,,,0.581823875,0.378459833,0.399929245
Latin America & Caribbean (excluding high income),LAC,2024,,,,0.697191455,0.664234704,0.372803921
South Asia,SAS,2024,,,,0.775683155,0.753220761,0.219287665
High income,HIC,2024,,,,0.949131387,0.94858257,0.043055753
Low income,LIC,2024,,,,0.464432333,0.257597745,0.317694503
Lower middle income,LMC,2024,,,,0.703871704,0.649734164,0.244393827
Upper middle income,UMC,2024,,,,0.840421009,0.832392924,0.10648931
