country,country_code,year,adult_pop,region,income_group,percent_with_fin_account,percent_with_fin_account_formal,percent_with_mobile_account,account_female,account_male,account_poor40,account_rich60,account_prim_less,account_sec_more,gdp_per_capita,region_geo
Italy,ITA,2024,51829051.0,High income,High income,0.860191093,0.860191093,,79.7946783289735,92.6338802740803,82.1215678248643,88.5999558685771,74.5881587033891,94.4796602775869,40385.3413957669,Europe & Central Asia
Japan,JPN,2024,110011344.0,High income,High income,0.985235592,0.985235592,,98.723135316154,98.3131609217015,97.6785123935915,99.0854185347709,97.5868079174503,98.8620554132254,32487.0778047567,East Asia & Pacific
Jordan,JOR,2024,7867178.0,Middle East & North Africa (excluding high income),Upper middle income,0.464573138,0.395770643,0.205639167812616,36.2234645848992,55.9196759817473,35.7152731126413,53.6178921345115,37.8853728938152,48.4374629257723,4618.09592498567,"Middle East, North Africa, Afghanistan & Pakistan"
Kazakhstan,KAZ,2024,14324777.0,Europe & Central Asia (excluding high income),Upper middle income,0.870486447,0.84197223,0.488575255,85.7420594770372,88.5002867646321,83.3413414717717,89.5146092807647,58.0864652855816,91.2365697346181,14154.6324958076,Europe & Central Asia
Kenya,KEN,2024,34616135.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.901199174,0.454278444,0.874994113,86.5155344015748,93.8895090496553,83.8761640610762,94.2665957730421,81.6639771317455,94.2597629382282,2132.43452097647,Sub-Saharan Africa 
"Korea, Rep.",KOR,2024,46039322.0,High income,High income,0.968949449,0.96743749,0.601022033,97.1396146066269,96.6472206696843,94.1886846132518,98.6932211942982,87.409430015156,98.6856130151133,36238.639908315,East Asia & Pacific
Kosovo,XKX,2024,1382360.0,Europe & Central Asia (excluding high income),Upper middle income,0.641617722,0.641617722,,59.7945017831686,68.7587019450215,66.6871161691135,62.4781675623885,59.8441169843768,69.6424096949818,7023.06598512878,Europe & Central Asia
Kuwait,KWT,2024,3950546.0,High income,High income,0.744578561,0.744578561,,71.4890462652269,76.0569953890037,63.6048709496818,81.694544625606,57.3478608172479,76.1196680526543,32717.7186631255,"Middle East, North Africa, Afghanistan & Pakistan"
Kyrgyz Republic,KGZ,2024,4780143.0,Europe & Central Asia (excluding high income),Lower middle income,0.722642376,0.699585473,0.310351086,71.235055996936,73.3780750915794,65.5888049897545,76.6989988232727,50.4794589409373,75.8871883080716,2420.18542283831,Europe & Central Asia
Lao PDR,LAO,2024,5322750.0,East Asia & Pacific (excluding high income),Lower middle income,0.376501969,0.372299012,0.118384277,43.5865025443192,31.7099790252873,18.2733611108504,50.5576529246622,27.3433718636427,62.2374310460403,2123.97909415109,East Asia & Pacific
Latvia,LVA,2024,1582835.0,High income,High income,0.9497331,0.9497331,,95.4063945490497,94.4387277334092,91.6439398308994,97.1909689409365,85.6687002281525,97.4694202455323,23409.0845154775,Europe & Central Asia
Lebanon,LBN,2024,4231057.0,Middle East & North Africa (excluding high income),Lower middle income,0.230438576,0.215510155,0.027158979,15.3395918766117,31.0250951995699,17.553656509439,26.6905852148665,16.1716133789038,26.2776482829298,,"Middle East, North Africa, Afghanistan & Pakistan"
Lesotho,LSO,2024,1504222.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.615710445,0.335292031,0.534728195,60.4259618948848,62.9153027155964,,,56.3537449556573,69.0843174558857,971.90771824829,Sub-Saharan Africa 
Liberia,LBR,2024,3295997.0,Sub-Saharan Africa (excluding high income),Low income,0.522139331,0.138832556,0.475292537,46.2794636646139,58.1311446969649,43.0083046077259,58.3549854533545,42.0683476020985,72.9690482645455,851.497723870206,Sub-Saharan Africa 
Libya,LBY,2024,5262910.0,Middle East & North Africa (excluding high income),Upper middle income,0.331190908,0.331190908,,24.6960239810713,41.4206818482174,30.0230794011172,35.1818772108942,20.8789801452244,35.5551338538791,6569.16408678648,"Middle East, North Africa, Afghanistan & Pakistan"
Lithuania,LTU,2024,2444088.0,High income,High income,0.989947156,0.989947156,,98.4001545389899,99.6487186965706,97.7831157645526,99.7989892727659,100.0,98.8891834591137,29384.0189598663,Europe & Central Asia
